ihpsc_candidato,lineas,monto_total,p_min,p_mediana,p_max,costo_ref_provisional_cop,fuente,estado
DLR-OVA / ELS-CYD Desarrollo e-learning,21,78016001.0,281250.0,500000.0,4000000.0,500000.0,mediana de precios reales pagados 2026 (07C2_SERVICES),PROVISIONAL — ratificar en taller de tarifas
ELS-CYD-AUT Autoría de curso,18,60485400.0,900.0,4500000.0,4500000.0,4500000.0,mediana de precios reales pagados 2026 (07C2_SERVICES),PROVISIONAL — ratificar en taller de tarifas
AUP-ANV Video Animado,16,52020001.0,80000.0,600000.0,2120000.0,600000.0,mediana de precios reales pagados 2026 (07C2_SERVICES),PROVISIONAL — ratificar en taller de tarifas
TIN / ELS Plataformas,14,39100000.0,225000.0,1250000.0,15000000.0,1250000.0,mediana de precios reales pagados 2026 (07C2_SERVICES),PROVISIONAL — ratificar en taller de tarifas
DLR-BDL Maquetación,17,27660000.0,10000.0,450000.0,900000.0,450000.0,mediana de precios reales pagados 2026 (07C2_SERVICES),PROVISIONAL — ratificar en taller de tarifas
AUP-VID Video Institucional,17,26092902.0,65.0,300000.0,1800000.0,300000.0,mediana de precios reales pagados 2026 (07C2_SERVICES),PROVISIONAL — ratificar en taller de tarifas
ELS-CYD-TRD Traducción,7,22230000.0,750000.0,1200000.0,1700000.0,1200000.0,mediana de precios reales pagados 2026 (07C2_SERVICES),PROVISIONAL — ratificar en taller de tarifas
AUP · SON Audio,1,15000000.0,15000000.0,15000000.0,15000000.0,15000000.0,mediana de precios reales pagados 2026 (07C2_SERVICES),PROVISIONAL — ratificar en taller de tarifas
CPM-EAS Asesoría Experta,3,15000000.0,500000.0,2500000.0,12000000.0,2500000.0,mediana de precios reales pagados 2026 (07C2_SERVICES),PROVISIONAL — ratificar en taller de tarifas
DYA · ILU Ilustración,3,7660000.0,37000.0,850000.0,3000000.0,850000.0,mediana de precios reales pagados 2026 (07C2_SERVICES),PROVISIONAL — ratificar en taller de tarifas
AUP-POD Pódcast,3,3300000.0,100000.0,400000.0,400000.0,400000.0,mediana de precios reales pagados 2026 (07C2_SERVICES),PROVISIONAL — ratificar en taller de tarifas
DYA-PMD/CAM Piezas gráficas,1,2500000.0,2500000.0,2500000.0,2500000.0,2500000.0,mediana de precios reales pagados 2026 (07C2_SERVICES),PROVISIONAL — ratificar en taller de tarifas
DLR-INF Infografía,4,2460000.0,40000.0,90000.0,410000.0,90000.0,mediana de precios reales pagados 2026 (07C2_SERVICES),PROVISIONAL — ratificar en taller de tarifas
AUP-POD/VID · VOV Locución,2,490000.0,120000.0,185000.0,250000.0,185000.0,mediana de precios reales pagados 2026 (07C2_SERVICES),PROVISIONAL — ratificar en taller de tarifas
