servicio_id,solicitud,proyecto,estado_solicitud,tipo_contrato,descripcion,unidad,cantidad,precio_unitario_cop,precio_total_cop,ihpsc_candidato,ihpsc_definitivo,decidido_por
GAP-HR-0001-0001,GAP-HR-0001,cr_unicef_gestion_resulta_2025,Processed,OS,Produccion de cinco (5) videos animados,Videos animados,5.0,2120000.0,10600000.0,AUP-ANV Video Animado,,
GAP-HR-0002-0003,GAP-HR-0002,co_csj_rama_judicial_2025,Processed,PS,"Objeto del contrato: Desarrollo académico, técnico y pedagógico de las Unidades Mínimas de Aprendizaje (UMA) que conforman los cursos del Ciclo de Formación Especializado en Género e Interseccionalidad de la Rama Judicial, garantizando la calidad, pertinencia y coherencia del ciclo formativo, así como su alineación con el diagnóstico de necesidades formativas, el Modelo Pedagógico 2020 de la Escuela Judicial Rodrigo Lara Bonilla (EJRLB) y los estándares nacionales e internacionales en materia de género, interseccionalidad y derechos humanos.  Actividades específicas: Elaborar el contenido académico central de cada UMA asignada, garantizando rigor conceptual, normativo y jurisprudencial; actualización normativa y jurisprudencial; integración transversal del enfoque de género, interseccionalidad y enfoque diferencial; pertinencia para el contexto judicial colombiano y para los perfiles destinatarios del curso; y claridad, coherencia interna y adecuación al nivel formativo (básico, intermedio o avanzado). El contenido deberá traducir marcos teóricos y jurídicos complejos en explicaciones accesibles, contextualizadas y aplicables a la práctica judicial. Desarrollar la estructura pedagógica completa de la UMA, incluyendo actividades de apertura (sensibilización, observación, análisis inicial), actividades de conexión emocional y reflexión profunda, actividades de aplicación práctica (casos, ejercicios, simulaciones, matrices), actividades de cierre orientadas a la acción y transformación institucional. Las actividades deben ser pertinentes, realistas, aplicables y diferenciadas según el perfil del público objetivo, y plantearse en coherencia con el marco pedagógico que fundamenta el proyecto (la Teoría U, las dimensiones de los Objetivos de Desarrollo Interior y el Modelo Pedagógico de la Escuela Judicial “Rodrigo Lara Bonilla”). Elaborar los recursos instruccionales necesarios para la implementación de la UMA, como por ejemplo la guía de didáctica completa de la UMA y los demás necesarios para el montaje de la UMA en el aula virtual. Desarrollar los instrumentos de evaluación, incluyendo evaluaciones formativas (preguntas con retroalimentación, ejercicios guiados, autoevaluaciones); evaluaciones sumativas (casos integradores, ejercicios de aplicación, rúbricas de desempeño), y criterios de evaluación claros, verificables y alineados con los objetivos de aprendizaje. Las evaluaciones deberán medir tanto conocimientos como habilidades, actitudes y capacidades procedimentales. Participar en espacios de validación y articulación para presentar y sustentar las decisiones pedagógicas y conceptuales de la UMA e incorporar los ajustes solicitados por cada UMA, para asegurar la coherencia curricular.",Autoría finalizada con previa aprobación de Innovahub y nuestra contraparte de Gobierno,1.0,4500000.0,4500000.0,ELS-CYD-AUT Autoría de curso,,
GAP-HR-0003-0006,GAP-HR-0003,co_csj_rama_judicial_2025,Processed,PS,"Objeto del contrato:
Desarrollo académico, técnico y pedagógico de las Unidades Mínimas de Aprendizaje (UMA) que conforman los cursos del Ciclo de Formación Especializado en Género e Interseccionalidad de la Rama Judicial, garantizando la calidad, pertinencia y coherencia del ciclo formativo, así como su alineación con el diagnóstico de necesidades formativas, el Modelo Pedagógico 2020 de la Escuela Judicial Rodrigo Lara Bonilla (EJRLB) y los estándares nacionales e internacionales en materia de género, interseccionalidad y derechos humanos.

Actividades específicas:
Elaborar el contenido académico central de cada UMA asignada, garantizando rigor conceptual, normativo y jurisprudencial; actualización normativa y jurisprudencial; integración transversal del enfoque de género, interseccionalidad y enfoque diferencial; pertinencia para el contexto judicial colombiano y para los perfiles destinatarios del curso; y claridad, coherencia interna y adecuación al nivel formativo (básico, intermedio o avanzado). El contenido deberá traducir marcos teóricos y jurídicos complejos en explicaciones accesibles, contextualizadas y aplicables a la práctica judicial.
Desarrollar la estructura pedagógica completa de la UMA, incluyendo actividades de apertura (sensibilización, observación, análisis inicial), actividades de conexión emocional y reflexión profunda, actividades de aplicación práctica (casos, ejercicios, simulaciones, matrices), actividades de cierre orientadas a la acción y transformación institucional. Las actividades deben ser pertinentes, realistas, aplicables y diferenciadas según el perfil del público objetivo, y plantearse en coherencia con el marco pedagógico que fundamenta el proyecto (la Teoría U, las dimensiones de los Objetivos de Desarrollo Interior y el Modelo Pedagógico de la Escuela Judicial “Rodrigo Lara Bonilla”).
Elaborar los recursos instruccionales necesarios para la implementación de la UMA, como por ejemplo la guía de didáctica completa de la UMA y los demás necesarios para el montaje de la UMA en el aula virtual.
Desarrollar los instrumentos de evaluación, incluyendo evaluaciones formativas (preguntas con retroalimentación, ejercicios guiados, autoevaluaciones); evaluaciones sumativas (casos integradores, ejercicios de aplicación, rúbricas de desempeño), y criterios de evaluación claros, verificables y alineados con los objetivos de aprendizaje. Las evaluaciones deberán medir tanto conocimientos como habilidades, actitudes y capacidades procedimentales.
Participar en espacios de validación y articulación para presentar y sustentar las decisiones pedagógicas y conceptuales de la UMA e incorporar los ajustes solicitados por cada UMA, para asegurar la coherencia curricular.",Autoría finalizada con previa aprobación de Innovahub y nuestra contraparte de Gobierno,1.0,4500000.0,4500000.0,ELS-CYD-AUT Autoría de curso,,
GAP-HR-0004-0008,GAP-HR-0004,co_giz_ambiente_2025,Processed,OS,Diseño instruccional,OVAs,10.0,408000.0,4080000.0,ELS-CYD-AUT Autoría de curso,,
GAP-HR-0004-0009,GAP-HR-0004,co_giz_ambiente_2025,Processed,OS,Guión instruccional de infografías en PDF,Infografía PDF,16.0,60000.0,960000.0,DLR-INF Infografía,,
GAP-HR-0004-0010,GAP-HR-0004,co_giz_ambiente_2025,Processed,OS,Guión de infografía interactiva,Infografía interactiva,4.0,120000.0,480000.0,DLR-INF Infografía,,
GAP-HR-0003-0011,GAP-HR-0003,co_csj_rama_judicial_2025,Processed,PS,"Objeto del contrato:
Desarrollo académico, técnico y pedagógico de las Unidades Mínimas de Aprendizaje (UMA) que conforman los cursos del Ciclo de Formación Especializado en Género e Interseccionalidad de la Rama Judicial, garantizando la calidad, pertinencia y coherencia del ciclo formativo, así como su alineación con el diagnóstico de necesidades formativas, el Modelo Pedagógico 2020 de la Escuela Judicial Rodrigo Lara Bonilla (EJRLB) y los estándares nacionales e internacionales en materia de género, interseccionalidad y derechos humanos.

Actividades específicas:
Elaborar el contenido académico central de cada UMA asignada, garantizando rigor conceptual, normativo y jurisprudencial; actualización normativa y jurisprudencial; integración transversal del enfoque de género, interseccionalidad y enfoque diferencial; pertinencia para el contexto judicial colombiano y para los perfiles destinatarios del curso; y claridad, coherencia interna y adecuación al nivel formativo (básico, intermedio o avanzado). El contenido deberá traducir marcos teóricos y jurídicos complejos en explicaciones accesibles, contextualizadas y aplicables a la práctica judicial.
Desarrollar la estructura pedagógica completa de la UMA, incluyendo actividades de apertura (sensibilización, observación, análisis inicial), actividades de conexión emocional y reflexión profunda, actividades de aplicación práctica (casos, ejercicios, simulaciones, matrices), actividades de cierre orientadas a la acción y transformación institucional. Las actividades deben ser pertinentes, realistas, aplicables y diferenciadas según el perfil del público objetivo, y plantearse en coherencia con el marco pedagógico que fundamenta el proyecto (la Teoría U, las dimensiones de los Objetivos de Desarrollo Interior y el Modelo Pedagógico de la Escuela Judicial “Rodrigo Lara Bonilla”).
Elaborar los recursos instruccionales necesarios para la implementación de la UMA, como por ejemplo la guía de didáctica completa de la UMA y los demás necesarios para el montaje de la UMA en el aula virtual.
Desarrollar los instrumentos de evaluación, incluyendo evaluaciones formativas (preguntas con retroalimentación, ejercicios guiados, autoevaluaciones); evaluaciones sumativas (casos integradores, ejercicios de aplicación, rúbricas de desempeño), y criterios de evaluación claros, verificables y alineados con los objetivos de aprendizaje. Las evaluaciones deberán medir tanto conocimientos como habilidades, actitudes y capacidades procedimentales.
Participar en espacios de validación y articulación para presentar y sustentar las decisiones pedagógicas y conceptuales de la UMA e incorporar los ajustes solicitados por cada UMA, para asegurar la coherencia curricular.",Autoría finalizada con previa aprobación de Innovahub y nuestra contraparte de Gobierno,1.0,4500000.0,4500000.0,ELS-CYD-AUT Autoría de curso,,
GAP-HR-0005-0012,GAP-HR-0005,co_csj_rama_judicial_2025,Processed,PS,"Actividades específicas del equipo de Asesoría y Producción Pedagógica
Revisión y alistamiento de insumos del proyecto
 Revisar diagnóstico de necesidades formativas, lineamientos de la EJRLB, perfiles de destinatarios, alcance del ciclo, y documentación técnica disponible; identificar vacíos y requerimientos pedagógicos para la construcción de los syllabus.

Diseño de arquitectura curricular del ciclo (coherencia entre cursos)
 Construir y documentar una matriz de coherencia curricular del ciclo (propósito del ciclo, competencias, resultados de aprendizaje, progresión por niveles si aplica, ejes temáticos y articulación entre cursos) para evitar duplicidades, vacíos y contradicciones.

Definición/ajuste de plantilla y estándar de syllabus
 Elaborar y socializar un formato único de syllabus (estructura, criterios de redacción, enfoque pedagógico, estándares de evaluación, bibliografía mínima, enfoque diferencial, lenguaje claro e inclusivo), y guiar su adopción por todas las personas del equipo.

Elaboración de los 4 syllabus (versión completa)
 Producir para cada curso un syllabus que incluya, como mínimo: propósito, justificación, público objetivo, prerrequisitos (si aplica), competencias/resultados de aprendizaje, enfoque metodológico, estructura por unidades/UMA (títulos, secuencia, tiempos), estrategias didácticas, estrategia de evaluación (formativa/sumativa), criterios e instrumentos, bibliografía y recursos.

Alineación pedagógica con el Modelo EJRLB y el marco metodológico del proyecto
 Verificar y ajustar los syllabus para que sean consistentes con el Modelo Pedagógico 2020 y el enfoque definido (p. ej., Teoría U / aprendizaje experiencial, reflexión–acción, transferencia a práctica judicial), garantizando pertinencia institucional y aplicabilidad.

Integración transversal de interseccionalidad y enfoque diferencial en los syllabus
 Incorporar de forma explícita (no solo declarativa) criterios y contenidos para: identificación de desigualdades, análisis contextual, grupos y factores de discriminación, debida diligencia, enfoques diferenciales relevantes para la Rama Judicial, y orientación a decisiones judiciales con enfoque de derechos.

Articulación técnica con autoras/ expertas temáticas (acompañamiento y retroalimentación)
 Brindar asesoría experta pedagógica a las autoras para traducir contenidos complejos a resultados de aprendizaje, actividades y evaluaciones; emitir retroalimentación estructurada (observaciones, mejoras, ajustes por coherencia y nivel), y acordar cambios.

Revisión de consistencia entre syllabus y UMAs (control de calidad curricular)
 Realizar control de calidad para asegurar que: objetivos–contenidos–actividades–evaluación estén alineados; que cada UMA responda al syllabus; que el nivel sea consistente (básico/intermedio/avanzado si aplica); y que existan criterios verificables de logro.

Diseño/afinación de estrategia de evaluación por curso
 Proponer o consolidar para cada syllabus: tipos de evaluación, evidencias de aprendizaje, ponderaciones si aplica, criterios de desempeño y lineamientos de retroalimentación; asegurar medición de conocimientos, habilidades y aplicación práctica en contexto judicial.

Acompañamiento y facilitación de talleres de validación de syllabus
 Preparar agenda, materiales y guías de discusión; participar activamente (y si corresponde, facilitar) los talleres con actores clave; recoger observaciones; promover acuerdos; y orientar ajustes con criterios pedagógicos y de coherencia curricular.

Sistematización de comentarios y gestión de versiones
 Consolidar observaciones de validación en una matriz de ajustes (qué se solicita, quién lo solicita, decisión técnica, cambio implementado, evidencia); administrar control de versiones y trazabilidad de cambios hasta cierre.

Ajuste final y entrega de los 4 syllabus (versión aprobable)
 Incorporar ajustes priorizados, realizar edición pedagógica final (claridad, secuencia, consistencia terminológica), y entregar los syllabus en el formato requerido por la EJRLB (y en versión lista para montaje, si aplica).

Producción de insumos complementarios para implementación (si se requiere en el contrato)
 Elaborar o consolidar: mapa del curso, cronograma sugerido, orientaciones para tutoría/mediación, lista de recursos, y recomendaciones para virtualización (estructura en aula virtual, secuencia didáctica, tiempos y evidencias).

Participación en reuniones de coordinación y articulación
 Asistir a reuniones convocadas por la supervisión/interventoría y el equipo del proyecto; preparar insumos; presentar avances; sustentar decisiones pedagógicas; y levantar acuerdos y pendientes asociados a los syllabus.

Informe de avance y cierre
 Presentar informes breves (según periodicidad definida) que incluyan: estado de cada syllabus, riesgos/bloqueos, decisiones pedagógicas clave, ajustes derivados de validación y estado de aprobaciones; entregar informe final de resultados.",Pendiente,1.0,12000000.0,12000000.0,CPM-EAS Asesoría Experta,,
GAP-HR-0006-0013,GAP-HR-0006,co_csj_rama_judicial_2025,Cancelled,PS,"Objeto del contrato:
Desarrollo académico, técnico y pedagógico de las Unidades Mínimas de Aprendizaje (UMA) que conforman los cursos del Ciclo de Formación Especializado en Género e Interseccionalidad de la Rama Judicial, garantizando la calidad, pertinencia y coherencia del ciclo formativo, así como su alineación con el diagnóstico de necesidades formativas, el Modelo Pedagógico 2020 de la Escuela Judicial Rodrigo Lara Bonilla (EJRLB) y los estándares nacionales e internacionales en materia de género, interseccionalidad y derechos humanos.

Actividades específicas:
Elaborar el contenido académico central de cada UMA asignada, garantizando rigor conceptual, normativo y jurisprudencial; actualización normativa y jurisprudencial; integración transversal del enfoque de género, interseccionalidad y enfoque diferencial; pertinencia para el contexto judicial colombiano y para los perfiles destinatarios del curso; y claridad, coherencia interna y adecuación al nivel formativo (básico, intermedio o avanzado). El contenido deberá traducir marcos teóricos y jurídicos complejos en explicaciones accesibles, contextualizadas y aplicables a la práctica judicial.
Desarrollar la estructura pedagógica completa de la UMA, incluyendo actividades de apertura (sensibilización, observación, análisis inicial), actividades de conexión emocional y reflexión profunda, actividades de aplicación práctica (casos, ejercicios, simulaciones, matrices), actividades de cierre orientadas a la acción y transformación institucional. Las actividades deben ser pertinentes, realistas, aplicables y diferenciadas según el perfil del público objetivo, y plantearse en coherencia con el marco pedagógico que fundamenta el proyecto (la Teoría U, las dimensiones de los Objetivos de Desarrollo Interior y el Modelo Pedagógico de la Escuela Judicial “Rodrigo Lara Bonilla”).
Elaborar los recursos instruccionales necesarios para la implementación de la UMA, como por ejemplo la guía de didáctica completa de la UMA y los demás necesarios para el montaje de la UMA en el aula virtual.
Desarrollar los instrumentos de evaluación, incluyendo evaluaciones formativas (preguntas con retroalimentación, ejercicios guiados, autoevaluaciones); evaluaciones sumativas (casos integradores, ejercicios de aplicación, rúbricas de desempeño), y criterios de evaluación claros, verificables y alineados con los objetivos de aprendizaje. Las evaluaciones deberán medir tanto conocimientos como habilidades, actitudes y capacidades procedimentales.
Participar en espacios de validación y articulación para presentar y sustentar las decisiones pedagógicas y conceptuales de la UMA e incorporar los ajustes solicitados por cada UMA, para asegurar la coherencia curricular.",Autoría finalizada con previa aprobación de Innovahub y nuestra contraparte de Gobierno,1.0,4500000.0,4500000.0,ELS-CYD-AUT Autoría de curso,,
GAP-HR-0006-0014,GAP-HR-0006,co_csj_rama_judicial_2025,Cancelled,PS,"Objeto del contrato:
Desarrollo académico, técnico y pedagógico de las Unidades Mínimas de Aprendizaje (UMA) que conforman los cursos del Ciclo de Formación Especializado en Género e Interseccionalidad de la Rama Judicial, garantizando la calidad, pertinencia y coherencia del ciclo formativo, así como su alineación con el diagnóstico de necesidades formativas, el Modelo Pedagógico 2020 de la Escuela Judicial Rodrigo Lara Bonilla (EJRLB) y los estándares nacionales e internacionales en materia de género, interseccionalidad y derechos humanos.

Actividades específicas:
Elaborar el contenido académico central de cada UMA asignada, garantizando rigor conceptual, normativo y jurisprudencial; actualización normativa y jurisprudencial; integración transversal del enfoque de género, interseccionalidad y enfoque diferencial; pertinencia para el contexto judicial colombiano y para los perfiles destinatarios del curso; y claridad, coherencia interna y adecuación al nivel formativo (básico, intermedio o avanzado). El contenido deberá traducir marcos teóricos y jurídicos complejos en explicaciones accesibles, contextualizadas y aplicables a la práctica judicial.
Desarrollar la estructura pedagógica completa de la UMA, incluyendo actividades de apertura (sensibilización, observación, análisis inicial), actividades de conexión emocional y reflexión profunda, actividades de aplicación práctica (casos, ejercicios, simulaciones, matrices), actividades de cierre orientadas a la acción y transformación institucional. Las actividades deben ser pertinentes, realistas, aplicables y diferenciadas según el perfil del público objetivo, y plantearse en coherencia con el marco pedagógico que fundamenta el proyecto (la Teoría U, las dimensiones de los Objetivos de Desarrollo Interior y el Modelo Pedagógico de la Escuela Judicial “Rodrigo Lara Bonilla”).
Elaborar los recursos instruccionales necesarios para la implementación de la UMA, como por ejemplo la guía de didáctica completa de la UMA y los demás necesarios para el montaje de la UMA en el aula virtual.
Desarrollar los instrumentos de evaluación, incluyendo evaluaciones formativas (preguntas con retroalimentación, ejercicios guiados, autoevaluaciones); evaluaciones sumativas (casos integradores, ejercicios de aplicación, rúbricas de desempeño), y criterios de evaluación claros, verificables y alineados con los objetivos de aprendizaje. Las evaluaciones deberán medir tanto conocimientos como habilidades, actitudes y capacidades procedimentales.
Participar en espacios de validación y articulación para presentar y sustentar las decisiones pedagógicas y conceptuales de la UMA e incorporar los ajustes solicitados por cada UMA, para asegurar la coherencia curricular.",Autoría finalizada con previa aprobación de Innovahub y nuestra contraparte de Gobierno,1.0,4500000.0,4500000.0,ELS-CYD-AUT Autoría de curso,,
